item_id,cefr_level,kind,section,concept_group,concept
pcic-00021,A2,grammar,gramatica,1.2. El género de los sustantivos,Masculino / femenino en í / ú (más frecuente en masculino) el jabalí
pcic-00022,A2,grammar,gramatica,1.2. El género de los sustantivos,"Nombres de colores el naranja , el rosa"
pcic-00023,A2,grammar,gramatica,1.2. El género de los sustantivos,"Sustantivos terminados en ma el problema , el tema"
pcic-00024,A2,grammar,gramatica,1.2. El género de los sustantivos,Otros casos aislados el día
pcic-00025,A2,grammar,gramatica,1.2. El género de los sustantivos,Casos aislados la mano
pcic-00026,A2,grammar,gramatica,1.2. El género de los sustantivos,"Género diferente expresado con una terminación diferente: femenino en esa , triz , ina , isa el príncipe / la princesa , el actor / la actriz , el rey / la reina , el poeta / la poetisa"
pcic-00027,A2,grammar,gramatica,1.2. El género de los sustantivos,"Sustantivos terminados en dor , tor , sor el gobernador / la gobernadora , el director , el secador , el profesor"
pcic-00028,A2,grammar,gramatica,1.2. El género de los sustantivos,"Nombres de persona terminados en ista el / la artista , el / la pianista"
pcic-00029,A1,grammar,gramatica,1.3. El número de los sustantivos,"Terminación en vocal: plural s mesa / mesas , libro / libros"
pcic-00030,A1,grammar,gramatica,1.3. El número de los sustantivos,"Terminación en consonante: plural es árbol / árboles , pared / paredes , tenedor / tenedores"
pcic-00031,A1,grammar,gramatica,1.3. El número de los sustantivos,Terminación en s . Monosílabos o sustantivos de acentuación aguda: plural es país / países
pcic-00032,A1,grammar,gramatica,1.3. El número de los sustantivos,Suma de individuos iguales: a + a +... + a el coche / los coches
pcic-00033,A2,grammar,gramatica,1.3. El número de los sustantivos,"Sustantivos invariables frecuentes, de más de una sílaba, de acentuación no aguda terminados en s el lunes / los lunes"
pcic-00034,A2,grammar,gramatica,1.3. El número de los sustantivos,"Duales léxicos más frecuentes las gafas , los pantalones"
pcic-00035,A1,grammar,gramatica,2.1. Clases de adjetivos,Función de complemento del nombre el chico guapo
pcic-00036,A1,grammar,gramatica,2.1. Clases de adjetivos,Función de atributo El chico es guapo
pcic-00037,A1,grammar,gramatica,2.1. Clases de adjetivos,Incompatibilidad con posesivos *mi guapo
pcic-00038,A1,grammar,gramatica,2.1. Clases de adjetivos,"Gentilicios muy frecuentes español , francés , japonés"
pcic-00039,A2,grammar,gramatica,2.1. Clases de adjetivos,"Oposiciones de polaridad (grados extremos de una cualidad) bonito  feo , bueno  malo , fuerte  débil"
pcic-00040,A1,grammar,gramatica,2.2. El género del adjetivo,Masculino en o y femenino en a alto / alta
pcic-00041,A1,grammar,gramatica,2.2. El género del adjetivo,"Masculino terminado en consonante y femenino terminado en a : gentilicios español / española , francés / francesa"
pcic-00042,A1,grammar,gramatica,2.2. El género del adjetivo,"Terminados en consonante difícil , fácil"
pcic-00043,A1,grammar,gramatica,2.2. El género del adjetivo,"Gentilicios marroquí , hindú"
pcic-00044,A2,grammar,gramatica,2.2. El género del adjetivo,"Derivados, terminados en dor , tor , sor creador / creadora , receptor / receptora"
pcic-00045,A2,grammar,gramatica,2.2. El género del adjetivo,"Terminados en e interesante , agradable , dulce"
pcic-00046,A1,grammar,gramatica,2.3. El número del adjetivo,"Terminados en vocal: plural s alto / altos , española / españolas"
pcic-00047,A1,grammar,gramatica,2.3. El número del adjetivo,Terminados en consonante: plural es fácil / fáciles
pcic-00048,A1,grammar,gramatica,2.4. Posición del adjetivo,Adjetivos especificativos o restrictivos un chico guapo
pcic-00049,A1,grammar,gramatica,2.5. Grados del adjetivo,Positivo un chico guapo
pcic-00050,A1,grammar,gramatica,2.5. Grados del adjetivo,Superlativo absoluto con adverbio muy muy guapo
pcic-00051,A2,grammar,gramatica,2.5. Grados del adjetivo,De superioridad más... que
pcic-00052,A2,grammar,gramatica,2.5. Grados del adjetivo,De igualdad tan... como
pcic-00053,A2,grammar,gramatica,2.5. Grados del adjetivo,De inferioridad menos... que
pcic-00054,A2,grammar,gramatica,2.5. Grados del adjetivo,"Comparativos cultos latinos más frecuentes: mejor , peor , mayor , menor"
pcic-00055,A1,grammar,gramatica,3.1. El artículo definido,"Paradigma regular: el , la , los , las"
pcic-00056,A1,grammar,gramatica,3.1. El artículo definido,"Formas contractas: al , del"
pcic-00057,A1,grammar,gramatica,3.1. El artículo definido,Restricciones debidas al tipo de sustantivo
pcic-00058,A1,grammar,gramatica,3.1. El artículo definido,Ausencia con nombre propio de persona: regla general [ v. Gramática 1.1.1. ]
pcic-00059,A1,grammar,gramatica,3.1. El artículo definido,Primera posición del SN la otra chica / *otra la chica
pcic-00060,A1,grammar,gramatica,3.1. El artículo definido,Imposibilidad de aparición de posesivos y demostrativos prenominales *el este libro / *la mi hermana
pcic-00061,A1,grammar,gramatica,3.1. El artículo definido,Obligatorio con sustantivo sujeto en construcciones con el verbo gustar Me gusta la paella . [ v. Funciones 3.2. ]
pcic-00062,A1,grammar,gramatica,3.1. El artículo definido,Incompatibilidad general con el verbo haber *Ahí hay la mesa .
pcic-00063,A1,grammar,gramatica,3.1. El artículo definido,Compatibilidad con el verbo estar Ahí está la mesa .
pcic-00064,A1,grammar,gramatica,3.1. El artículo definido,Incompatibilidad con el verbo saber Sabe * el ruso / *la filosofía .
pcic-00065,A2,grammar,gramatica,3.1. El artículo definido,El delante de vocal a tónica el aula / las aulas
pcic-00066,A2,grammar,gramatica,3.1. El artículo definido,Uso anafórico. Segunda mención El curso es interesante . [ v. Tácticas y estrategias pragmáticas 1.4.2. ]
pcic-00067,A2,grammar,gramatica,3.1. El artículo definido,"Uso deíctico basado en la situación extralingüística ¿Puedes cerrar la puerta, por favor?"
pcic-00068,A2,grammar,gramatica,3.1. El artículo definido,Posesión inalienable Me duele la cabeza . [ v. Gramática 5. ]
pcic-00069,A2,grammar,gramatica,3.1. El artículo definido,Valor genérico Leo el periódico .
pcic-00070,A2,grammar,gramatica,3.1. El artículo definido,Valor sustantivador. Elipsis nominal Compra el nuevo .
pcic-00071,A2,grammar,gramatica,3.1. El artículo definido,Restricciones debidas al tipo de sustantivo. Obligatorio en sustantivos que expresan actividades de ocio Juego al tenis .
pcic-00072,A2,grammar,gramatica,3.1. El artículo definido,Detrás de todo/a/os/as todos los libros / *los todos libros [ v. Gramática 6.1. ]
pcic-00073,A2,grammar,gramatica,3.1. El artículo definido,Compatibilidad con cuantificadores numerales los dos amigos
pcic-00074,A2,grammar,gramatica,3.1. El artículo definido,Restricciones por la presencia de determinados modificadores. Incompatibilidad con modificadores de gradación *la película muy buena
pcic-00075,A2,grammar,gramatica,3.1. El artículo definido,"Obligatorio con sustantivo sujeto en construcciones con verbos del tipo apetecer , encantar Me encanta la paella ."
pcic-00076,A2,grammar,gramatica,3.1. El artículo definido,"Incompatibilidad con estructuras posesivas y complementos de medida, sin modificador restrictivo *Tiene el perro. / Tiene el perro de Juan."
pcic-00077,A1,grammar,gramatica,3.2. El artículo indefinido,"Paradigma regular: un , una , unos , unas"
pcic-00078,A1,grammar,gramatica,3.2. El artículo indefinido,Significado básico: indefinición. Primera mención (referentes nuevos) Tengo un libro . [ v. Tácticas y estrategias pragmáticas 1.4.1. ]
pcic-00079,A1,grammar,gramatica,3.2. El artículo indefinido,"Restricciones debidas al tipo de sustantivo. Incompatibilidad general con los nombres propios *un Javier , *una España , *unos Correos"
pcic-00080,A1,grammar,gramatica,3.2. El artículo indefinido,"Restricciones debidas a otros componentes del SN . Incompatibilidad con demostrativos, numerales e indefinidos *este un amigo , *un otro amigo"
pcic-00081,A2,grammar,gramatica,3.2. El artículo indefinido,Un delante de vocal a tónica un aula / unas aulas; una amplia aula; toda un aula
pcic-00082,A2,grammar,gramatica,3.2. El artículo indefinido,Significado básico: indefinición. Imposibilidad de indicar la totalidad de la clase de objetos ¿Me das una hoja?
pcic-00083,A2,grammar,gramatica,3.2. El artículo indefinido,Relación anafórica de identidad de sentido Voy a una clase de español y luego a una de francés .
pcic-00084,A2,grammar,gramatica,3.2. El artículo indefinido,"Relación anafórica asociativa En la clase hace frío, una ventana está rota ."
pcic-00085,A2,grammar,gramatica,3.2. El artículo indefinido,Posesión inalienable Me duele un dedo . [ v. Gramática 5. ]
pcic-00086,A2,grammar,gramatica,3.2. El artículo indefinido,Valor aproximativo unos 50 euros
pcic-00087,A2,grammar,gramatica,3.2. El artículo indefinido,Valor sustantivador. Uso básico Compra una nueva .
pcic-00088,A2,grammar,gramatica,3.2. El artículo indefinido,Restricciones debidas al tipo de sustantivo. Incompatibilidad con nombres que designan entidades únicas *una madre de Juan
pcic-00089,A2,grammar,gramatica,3.2. El artículo indefinido,"Atributo con nombres de profesión, función, clase, nacionalidad o creencia sin artículo Es profesora de español ."
pcic-00090,A2,grammar,gramatica,3.2. El artículo indefinido,Atributo clasificador Es un amigo .
pcic-00091,A2,grammar,gramatica,3.2. El artículo indefinido,Obligatorio con hay
pcic-00092,A1,grammar,gramatica,3.3. Ausencia de determinación: los nombres escuetos,Incompatibilidad con el verbo gustar *Me gusta paella .
pcic-00093,A1,grammar,gramatica,3.3. Ausencia de determinación: los nombres escuetos,Compatibilidad general con el verbo haber impersonal Hay árboles en la plaza . No hay leche en la nevera
pcic-00094,A2,grammar,gramatica,3.3. Ausencia de determinación: los nombres escuetos,En singular con nombres no contables y en plural con nombres contables para indicar una cantidad inespecífica Bebe agua . Escribe cartas .
pcic-00095,A2,grammar,gramatica,3.3. Ausencia de determinación: los nombres escuetos,"Incompatibilidad con predicados que exigen un sujeto delimitado, como encantar *Le encanta cine ."
pcic-00096,A2,grammar,gramatica,3.3. Ausencia de determinación: los nombres escuetos,Restricciones en la aparición de nombres contables en singular. Con el verbo tener cuando corresponden a un cierto estereotipo social Tiene casa. / *Tiene palacio . Tiene perro. / *Tiene serpiente .
pcic-00097,A1,grammar,gramatica,Los demostrativos,"Paradigma del masculino y del femenino singular y plural este, esta, estos, estas ese, esa, esos, esas aquel, aquella, aquellos, aquellas"
pcic-00098,A1,grammar,gramatica,Los demostrativos,"Forma del neutro singular esto, eso, aquello Posición inicial con verbos copulativos ( ser , estar ) Eso es un libro."
pcic-00099,A1,grammar,gramatica,Los demostrativos,Cercanía respecto al hablante y al oyente este libro
pcic-00100,A1,grammar,gramatica,Los demostrativos,"Lejanía del hablante y del oyente ese libro , aquel árbol"
pcic-00101,A1,grammar,gramatica,Los demostrativos,El referente es un objeto desconocido ¿Qué es eso? [ v. Tácticas y estrategias pragmáticas 1.3.1. ]
pcic-00102,A1,grammar,gramatica,Los demostrativos,Posición del demostrativo: delante del sustantivo
pcic-00103,A1,grammar,gramatica,Los demostrativos,"Incompatibilidad con el artículo *el este [ v. Gramática 3.1. , 3.2. ]"
pcic-00104,A2,grammar,gramatica,Los demostrativos,Deíctico temporal Esta tarde voy al cine .
pcic-00105,A2,grammar,gramatica,Los demostrativos,"Anafórico Luis hizo una señal a Antonio, pero este no la vio . [ v. Tácticas y estrategias pragmáticas 1.1.1. ]"
pcic-00106,A2,grammar,gramatica,Los demostrativos,"El referente es un objeto o persona No, ese no es . [ v. Tácticas y estrategias pragmáticas 1.3.1. ]"
pcic-00107,A1,grammar,gramatica,Los posesivos,"Formas átonas. Un poseedor. Variación de número mi , mis , tu , tus , su , sus mi libro / mis libros"
pcic-00108,A1,grammar,gramatica,Los posesivos,"Variación de género y número con formas tónicas de varios poseedores nuestro libro / nuestros libros , nuestra llave / nuestras llaves"
pcic-00109,A1,grammar,gramatica,Los posesivos,Coincidencia formal de las formas átonas de 3.ª persona de singular y plural su casa [de él / de ella / de ellos / de ellas]
pcic-00110,A1,grammar,gramatica,Los posesivos,Posición inicial de la forma átona mi libro / *libro mi mi camisa roja
pcic-00111,A1,grammar,gramatica,Los posesivos,Incapacidad para aparecer solo en formas átonas ¿De quién es este libro? *Mi. / *Este libro es mi .
pcic-00112,A1,grammar,gramatica,Los posesivos,Incompatibilidad con adjetivos y con artículo en formas átonas *mi interesante *la mi amiga
pcic-00113,A1,grammar,gramatica,Los posesivos,Incompatibilidad con el verbo haber *Hay mis amigos .
pcic-00114,A2,grammar,gramatica,Los posesivos,"Formas tónicas. Un poseedor. Variación de género y número mío/a/os/as, tuyo/a/os/as, suyo/a/os/as"
pcic-00115,A2,grammar,gramatica,Los posesivos,Formas tónicas. Varios poseedores. Variación de género y número suyo/a/os/as
pcic-00116,A2,grammar,gramatica,Los posesivos,[Hispanoamérica] Tendencia a expresar la posesión mediante estructuras pospuestas. Posesivos pospuestos analíticos y sintéticos el libro tuyo [= tu libro] la escuela de nosotros [= nuestra escuela]
pcic-00117,A2,grammar,gramatica,Los posesivos,Posesión inalienable. Sustitución del posesivo por un artículo con partes del cuerpo Me duele la cabeza. / *Me duele mi cabeza . [ v. Tácticas y estrategias pragmáticas 1.3.3. ]
pcic-00118,A2,grammar,gramatica,Los posesivos,En respuesta a preguntas: capacidad para aparecer solo en formas tónicas (con valor de atributo o complemento predicativo)  ¿De quién es este libro? Mío [= Es mío].
pcic-00119,A2,grammar,gramatica,Los posesivos,Compatibilidad con el artículo en formas tónicas el mío
pcic-00120,A2,grammar,gramatica,Los posesivos,Compatibilidad con todos (posesivo detrás) y otros (posesivo delante) todos mis compañeros mis otros compañeros
pcic-00121,A1,grammar,gramatica,6.1. Cuantificadores propios,"Variación de género y de número doscientas personas , doscientos euros [ v. Ortografía 1.7.4. ]"
pcic-00122,A1,grammar,gramatica,6.1. Cuantificadores propios,"Variación de género primero / primera , segundo / segunda"
pcic-00123,A1,grammar,gramatica,6.1. Cuantificadores propios,Variación de género y número Hace mucho calor . Tengo muchos amigos . Bastante
pcic-00124,A1,grammar,gramatica,6.1. Cuantificadores propios,Variación de número Hay bastante dinero . Tenemos bastantes problemas .
pcic-00125,A2,grammar,gramatica,6.1. Cuantificadores propios,"Ordinales. Contraste formas plenas / formas apocopadas, con función de determinante (o delante de sustantivo) primero / primer, tercero / tercer Variación de número los primeros , los segundos (platos)"
pcic-00126,A2,grammar,gramatica,6.1. Cuantificadores propios,Variación de género y número. Concordancia en el SN todos los días / todas las mañanas
pcic-00127,A2,grammar,gramatica,6.1. Cuantificadores propios,"Combinación con determinantes: obligatoria con artículo, posesivo y demostrativo todos los días , todos mis amigos , todos estos libros / *todos días [ v. Gramática 3.1. , 5. ]"
pcic-00128,A2,grammar,gramatica,6.1. Cuantificadores propios,Aislado como respuesta a una pregunta ¿Qué te gusta más de España? Todo .
pcic-00129,A2,grammar,gramatica,6.1. Cuantificadores propios,Variación de género. Concordancia en plural con el verbo Todas somos alemanas . Todos vamos a clase .
pcic-00130,A2,grammar,gramatica,6.1. Cuantificadores propios,"Invariable, en expresiones con valor de instrucción todo seguido , todo recto"
pcic-00131,A2,grammar,gramatica,6.1. Cuantificadores propios,Variación de género y número No hace demasiado frío .
pcic-00132,A2,grammar,gramatica,6.1. Cuantificadores propios,Aislados como respuesta a una pregunta ¿Qué has comprado? Nada .
pcic-00133,A2,grammar,gramatica,6.1. Cuantificadores propios,Comparación de superioridad e inferioridad. Término de la comparación introducido por que Juan es más / menos alto que yo . [ v. Gramática 15.3.8. ]
pcic-00134,A2,grammar,gramatica,6.1. Cuantificadores propios,Comparación de igualdad. Término de la comparación introducido por como . Selección de tan y tanto Juan es tan alto como yo . Juan corre tanto como yo . [ v. Gramática 15.3.8. ]
pcic-00135,A1,grammar,gramatica,6.2. Cuantificadores focales o presuposicionales,"También , tampoco Yo también soy alemán . Yo tampoco voy . [ v. Tácticas y estrategias pragmáticas 1.2.1., 1.2.4. ]"
pcic-00136,A1,grammar,gramatica,7.1. El pronombre personal,"Paradigma de las tres personas gramaticales yo , tú , él , nosotros , vosotros , ellos"
pcic-00137,A1,grammar,gramatica,7.1. El pronombre personal,"Variación de género: 3.ª persona de singular y de plural; 1.ª y 2.ª personas de plural él / ella , ellos / ellas nosotros / nosotras vosotros / vosotras"
pcic-00138,A1,grammar,gramatica,7.1. El pronombre personal,[Zonas voseantes de Hispanoamérica] Forma vos para 2.ª persona del singular. Coexistencia del tuteo con mayor o menor alternancia de formas con el voseo
pcic-00139,A1,grammar,gramatica,7.1. El pronombre personal,"[México, excepto Chiapas, y El Caribe] Uso exclusivo del tuteo"
pcic-00140,A1,grammar,gramatica,7.1. El pronombre personal,"La forma usted / ustedes [Hispanoamérica, España: variedades meridionales y Canarias] Uso exclusivo de la forma ustedes para la 2.ª persona del plural. Ausencia de las formas vosotros / as [ v. Tácticas y estrategias pragmáticas 3.1.1. ]"
pcic-00141,A1,grammar,gramatica,7.1. El pronombre personal,Ausencia. Norma general: sujeto innecesario o inaceptable (relación temática con el predicado) Estudio español . [Hispanoamérica] Tendencia a utilizar sujetos pronominales Yo estudio español .
pcic-00142,A1,grammar,gramatica,7.1. El pronombre personal,"Presencia con valor de contraste Yo soy Clara, ¿y tú? [ v. Funciones 1.1. ]"
pcic-00143,A1,grammar,gramatica,7.1. El pronombre personal,Ausencia en oraciones impersonales con sujeto expletivo: verbo haber Hay mucha gente .
pcic-00144,A1,grammar,gramatica,7.1. El pronombre personal,Referente (+ humano). Uso del demostrativo para referirse a cosas Hay una ventana. Esta (ventana) es grande . / *Hay una ventana. Ella es grande .
pcic-00145,A1,grammar,gramatica,7.1. El pronombre personal,Noción de persona de los pronombres yo y tú
pcic-00146,A1,grammar,gramatica,7.1. El pronombre personal,Nosotros inclusivo (incluye al oyente): yo + tú (+ eventualmente terceras personas)
pcic-00147,A1,grammar,gramatica,7.1. El pronombre personal,Nosotros no inclusivo (excluye al oyente): yo + él / ella / ellos / ellas
pcic-00148,A1,grammar,gramatica,7.1. El pronombre personal,"Vosotros : un solo oyente ( tú + tú + eventualmente terceras personas), varios oyentes ( tú + él / ella / ellos / ellas )"
pcic-00149,A1,grammar,gramatica,7.1. El pronombre personal,"Ausencia con hay ¿Hay parques en tu barrio? Sí, hay ."
pcic-00150,A1,grammar,gramatica,7.1. El pronombre personal,"Ausencia en respuestas a preguntas cuando el antecedente es un sustantivo sin determinante ni cuantificador (interpretación inespecífica) ¿Tienes coche? No, no tengo ."
pcic-00151,A1,grammar,gramatica,7.1. El pronombre personal,1.ª persona de singular Me gusta el cine .
pcic-00152,A1,grammar,gramatica,7.1. El pronombre personal,"Significado de experimentante semántico, pero no sujeto gramatical, con gustar Me gustan los coches . [ v. Funciones 3.2. ]"
pcic-00153,A1,grammar,gramatica,7.1. El pronombre personal,Pronombre personal: forma única para el singular y el plural
pcic-00154,A1,grammar,gramatica,7.1. El pronombre personal,"Pronombre reflexivo Levantarse , peinarse [Hispanoamérica] Tendencia a usar formas reflexivas desayunarse , tardarse , amanecerse , robarse"
pcic-00155,A2,grammar,gramatica,7.1. El pronombre personal,Omisión del verbo Soy español. Yo también . [ v. Tácticas y estrategias pragmáticas 1.1.1. ]
pcic-00156,A2,grammar,gramatica,7.1. El pronombre personal,Entre él / ella / Ud. / Uds. por la flexión verbal. Con tiempos de indicativo Él preguntó y ella contestó .
pcic-00157,A2,grammar,gramatica,7.1. El pronombre personal,Ausencia con verbos meteorológicos Llueve .
pcic-00158,A2,grammar,gramatica,7.1. El pronombre personal,"La «no persona» (cualquier persona distinta de los interlocutores) él , ellos"
pcic-00159,A2,grammar,gramatica,7.1. El pronombre personal,"Deixis ad oculos Ha sido él [señalando, él está presente]. [ v. Tácticas y estrategias pragmáticas 1.3.3. ]"
pcic-00160,A2,grammar,gramatica,7.1. El pronombre personal,Valor anafórico Hablé con Luis y él me dijo la verdad [Luis no está presente]. [ v. Tácticas y estrategias pragmáticas 1.1.1. ]
pcic-00161,A2,grammar,gramatica,7.1. El pronombre personal,"Formas invariables de 1.ª y 2.ª persona me , te , nos , os Ayer os vi en el aeropuerto . Te quiero ."
pcic-00162,A2,grammar,gramatica,7.1. El pronombre personal,"3.ª persona con variación de género y número lo , la , los , las Lo usamos todos los días ."
pcic-00163,A2,grammar,gramatica,7.1. El pronombre personal,"El pronombre neutro lo (referido a ideas, acciones, situaciones) No lo conozco . [Hispanoamérica] Uso del femenino la Lo pasamos bien [España]. / La pasamos bien [Hispanoamérica]."
pcic-00164,A2,grammar,gramatica,7.1. El pronombre personal,Preferencia de los pronombres átonos sobre los tónicos *Vi a ella . / La vi .
pcic-00165,A2,grammar,gramatica,7.1. El pronombre personal,"Enclisis y proclisis: formas flexionadas, imperativo y formas no personales lo escribo / escríbelo / escribirlo / escribiéndolo [ v. Ortografía 2.1. ]"
pcic-00166,A2,grammar,gramatica,7.1. El pronombre personal,Alternancia en la posición del pronombre en las perífrasis más habituales Voy a verlo . / Lo voy a ver . Enclítico obligatorio con hay que *Lo hay que hacer .
pcic-00167,A2,grammar,gramatica,7.1. El pronombre personal,"Alternancia con verbos modales: poder , soler Puedo hacerlo . / Lo puedo hacer ."
pcic-00168,A2,grammar,gramatica,7.1. El pronombre personal,"Formas invariables me , te , nos , os [Zonas voseantes de Hispanoamérica] Uso de la forma te con el voseo Vos te hacés la comida ."
pcic-00169,A2,grammar,gramatica,7.1. El pronombre personal,3.ª persona con variación de número le / les
pcic-00170,A2,grammar,gramatica,7.1. El pronombre personal,"Sustitución de le / les por se ante pronombre átono de OD El permiso, a María se lo dieron hace un mes ."
pcic-00171,A2,grammar,gramatica,7.1. El pronombre personal,Preferencia de los pronombres átonos sobre los tónicos *Di el libro a ella . / Le di el libro .
pcic-00172,A2,grammar,gramatica,7.1. El pronombre personal,Coaparición del pronombre átono y del pronombre tónico para añadir la información de género Le entregué el libro a ella la semana pasada .
pcic-00173,A2,grammar,gramatica,7.1. El pronombre personal,Alternancia en la posición del pronombre en las perífrasis más habituales Voy a escribirle una carta . / Le voy a escribir una carta .
pcic-00174,A2,grammar,gramatica,7.1. El pronombre personal,"Significado de experimentante semántico, pero no sujeto gramatical, con verbos como interesar , encantar"
pcic-00175,A2,grammar,gramatica,7.1. El pronombre personal,Paradigma de las formas tónicas coincidentes con las formas de sujeto
pcic-00176,A2,grammar,gramatica,7.1. El pronombre personal,"Formas específicas de 1.ª y 2.ª persona del singular detrás de preposición: mí , ti [Zonas voseantes de Hispanoamérica] Formas para el voseo ( vos ) con vos , a vos , para vos"
pcic-00177,A2,grammar,gramatica,7.1. El pronombre personal,Reduplicación del pronombre A mí me gusta el azul . / *A mí gusta el azul .
pcic-00178,A2,grammar,gramatica,7.1. El pronombre personal,"Formas amalgamadas: 1.ª y 2.ª persona del singular con la preposición con : conmigo , contigo"
pcic-00179,A2,grammar,gramatica,7.1. El pronombre personal,Valor anafórico (recurso para la tematización) Con él me divierto .
pcic-00180,A2,grammar,gramatica,7.1. El pronombre personal,"Con preposición a , valor de OI A mí no me gusta [experimentante]. Te lo doy a ti [destinatario, destino, meta]. A mí me gusta el azul [valor contrastivo, con preposición a]."
pcic-00181,A2,grammar,gramatica,7.1. El pronombre personal,"Referente (+ humano) de mí , ti , conmigo , contigo , nosotros , vosotros"
pcic-00182,A1,grammar,gramatica,7.2. Los relativos,En relativas especificativas con antecedente expreso El libro que lee es muy interesante . [ v. Gramática 15.2. ]
pcic-00183,A1,grammar,gramatica,7.2. Los relativos,"Invariable, carente de flexión. Átono, proclítico la profesora que tengo / las casas que veo"
pcic-00184,A1,grammar,gramatica,7.2. Los relativos,Naturaleza del antecedente: sustantivo [+ /  humano] El libro que lee La profesora que tengo
pcic-00185,A1,grammar,gramatica,7.2. Los relativos,"Función de sujeto y de OD, con antecedente obligatorio La profesora que tengo me gusta mucho . Vivo en una casa que tiene tres habitaciones ."
pcic-00186,A1,grammar,gramatica,7.3. Los interrogativos,Tónico con acento gráfico. Posición inicial de su oración. Invariable [ v. Ortografía 2.2. ]
pcic-00187,A1,grammar,gramatica,7.3. Los interrogativos,"Aislado, seguido de verbo; seguido de SN ¿Qué estudias? ¿Qué libro lees?"
pcic-00188,A1,grammar,gramatica,7.3. Los interrogativos,"Pregunta por objetos o acciones ( humano) ¿Qué es eso? , ¿Qué haces? [ v. Funciones 1.2. ]"
pcic-00189,A1,grammar,gramatica,7.3. Los interrogativos,Forma singular. Tónico con acento gráfico. Posición inicial
pcic-00190,A1,grammar,gramatica,7.3. Los interrogativos,"Aislado, seguido de verbo"
pcic-00191,A1,grammar,gramatica,7.3. Los interrogativos,Pregunta por personas (+ humano) ¿Quién es esa chica? [ v. Funciones 1.2. ] Cuánto / cuánta / cuántos / cuántas
pcic-00192,A1,grammar,gramatica,7.3. Los interrogativos,Tónico con acento gráfico. Variable en género y número en concordancia con el sustantivo ¿Cuántos años tienes? / ¿Cuántas hermanas tienes?
pcic-00193,A1,grammar,gramatica,7.3. Los interrogativos,Adverbios interrogativos [ v. Gramática 8.8. ]
pcic-00194,A1,grammar,gramatica,7.3. Los interrogativos,Locuciones [ v. Gramática 8.9. ]
pcic-00195,A2,grammar,gramatica,7.3. Los interrogativos,"Pregunta por el sujeto ( humano), por el OD , por el atributo ¿Qué ha pasado? ¿Qué comes? ¿Qué es Luis? [ v. Funciones 1.2. ]"
pcic-00196,A2,grammar,gramatica,7.3. Los interrogativos,Variación de número
pcic-00197,A2,grammar,gramatica,7.3. Los interrogativos,Pregunta por el sujeto (+ humano) ¿Quiénes viven en el 5.º? [ v. Funciones 1.2. ]
pcic-00198,A2,grammar,gramatica,7.3. Los interrogativos,Adverbio invariable seguido directamente de verbo ¿Cuánto pesas?
